Umur (minggu),Perusahaan,Breeds,Konsumsi_(g/hari),Konsumsi_(g/minggu),Konsumsi/(BB^0.75)_(g/minggu),BB_(g/minggu),BB^0.75_(g/minggu),%_Ca,Konsumsi-Ca_(g/minggu),%_P-Ter.,Konsumsi_P-Tersedia_(g/minggu),%_P,Konsumsi_P_(g/minggu)
22,HG,DB,109,763,117.97,"1,750.00",270.57,2.05,2.42,0.42,0.50,0.65,0.77
23,HG,DB,112,784,120.92,"1,767.00",272.54,2.05,2.48,0.42,0.51,0.65,0.79
24,HG,DB,112,784,120.67,"1,782.00",274.27,2.05,2.47,0.42,0.51,0.65,0.78
25,HG,DB,113,791,121.51,"1,796.00",275.89,2.05,2.49,0.42,0.51,0.65,0.79
26,HG,DB,113,791,121.29,"1,809.00",277.38,2.05,2.49,0.42,0.51,0.65,0.79
27,HG,DB,113,791,121.09,"1,821.00",278.76,2.05,2.48,0.42,0.51,0.65,0.79
28,HG,DB,113,791,120.92,"1,831.00",279.91,2.05,2.48,0.42,0.51,0.65,0.79
29,HG,DB,113,791,120.76,"1,841.00",281.05,2.05,2.48,0.42,0.51,0.65,0.78
30,HG,DB,113,791,120.61,"1,850.00",282.08,2.05,2.47,0.42,0.51,0.65,0.78
31,HG,DB,113,791,120.48,"1,858.00",283.00,2.05,2.47,0.42,0.51,0.65,0.78
32,HG,DB,113,791,120.35,"1,866.00",283.91,2.05,2.47,0.42,0.51,0.65,0.78
33,HG,DB,113,791,120.24,"1,873.00",284.71,2.05,2.46,0.42,0.50,0.65,0.78
34,HG,DB,113,791,120.14,"1,879.00",285.39,2.05,2.46,0.42,0.50,0.65,0.78
35,HG,DB,113,791,120.05,"1,885.00",286.08,2.05,2.46,0.42,0.50,0.65,0.78
8,HG,DW,42,294,59.55,594.00,120.32,1.00,0.60,0.42,0.25,0.70,0.42
9,HG,DW,48,336,65.87,677.00,132.72,0.95,0.63,0.36,0.24,0.58,0.38
10,HG,DW,51,357,67.99,760.00,144.75,0.95,0.65,0.36,0.24,0.58,0.39
11,HG,DW,54,378,70.17,842.00,156.31,0.95,0.67,0.36,0.25,0.58,0.41
12,HG,DW,57,399,72.39,923.00,167.46,0.95,0.69,0.36,0.26,0.58,0.42
13,HG,DW,60,420,74.65,"1,002.00",178.09,0.95,0.71,0.36,0.27,0.58,0.43
14,HG,DW,63,441,76.95,"1,079.00",188.26,0.95,0.73,0.36,0.28,0.58,0.45
15,HG,DW,65,455,78.10,"1,152.00",197.74,0.95,0.74,0.36,0.28,0.58,0.45
16,HG,DW,68,476,80.52,"1,221.50",206.62,0.95,0.76,0.36,0.29,0.58,0.47
17,HG,DW,72,504,84.15,"1,287.00",214.87,2.05,1.73,0.42,0.35,0.65,0.55
18,HG,DW,77,539,89.00,"1,345.50",222.16,2.05,1.82,0.42,0.37,0.65,0.58
19,HG,DW,82,574,93.82,"1,401.00",229.00,2.05,1.92,0.42,0.39,0.65,0.61
20,HG,DW,89,672,108.90,"1,450.00",234.98,2.05,2.23,0.42,0.46,0.65,0.71
21,HG,DW,96,672,108.11,"1,493.00",240.18,2.05,2.22,0.42,0.45,0.65,0.70
22,HG,DW,102,714,114.18,"1,529.00",244.52,2.05,2.34,0.42,0.48,0.65,0.74
23,HG,DW,105,735,117.14,"1,550.00",247.03,2.05,2.40,0.42,0.49,0.65,0.76
24,HG,DW,106,742,117.93,"1,567.00",249.06,2.05,2.42,0.42,0.50,0.65,0.77
25,HG,DW,106,742,117.71,"1,579.00",250.49,2.05,2.41,0.42,0.49,0.65,0.77
26,HG,DW,107,749,118.59,"1,591.00",251.91,2.05,2.43,0.42,0.50,0.65,0.77
27,HG,DW,107,749,118.41,"1,601.00",253.10,2.05,2.43,0.42,0.50,0.65,0.77
28,HG,DW,107,749,118.22,"1,611.00",254.29,2.05,2.42,0.42,0.50,0.65,0.77
29,HG,DW,108,756,119.15,"1,621.00",255.47,2.05,2.44,0.42,0.50,0.65,0.77
30,HG,DW,108,756,118.98,"1,630.00",256.53,2.05,2.44,0.42,0.50,0.65,0.77
31,HG,DW,108,756,118.83,"1,638.00",257.48,2.05,2.44,0.42,0.50,0.65,0.77
32,HG,DW,108,756,118.69,"1,646.00",258.42,2.05,2.43,0.42,0.50,0.65,0.77
33,HG,DW,109,763,119.66,"1,653.00",259.24,2.05,2.45,0.42,0.50,0.65,0.78
34,HG,DW,109,763,119.55,"1,659.00",259.95,2.05,2.45,0.42,0.50,0.65,0.78
35,HG,DW,109,763,119.45,"1,665.00",260.65,2.05,2.45,0.42,0.50,0.65,0.78
8,HG,HB,50,350,67.98,702.50,136.45,1.00,0.68,0.42,0.29,0.70,0.48
9,HG,HB,52,364,68.32,806.00,151.27,0.95,0.65,0.36,0.25,0.58,0.40
10,HG,HB,58,406,73.94,909.00,165.55,0.95,0.70,0.36,0.27,0.58,0.43
11,HG,HB,61,427,75.76,"1,009.00",179.03,0.95,0.72,0.36,0.27,0.58,0.44
12,HG,HB,64,448,77.68,"1,106.50",191.85,0.95,0.74,0.36,0.28,0.58,0.45
13,HG,HB,67,469,79.70,"1,199.00",203.76,0.95,0.76,0.36,0.29,0.58,0.46
14,HG,HB,70,490,80.55,"1,369.50",225.12,0.95,0.77,0.36,0.29,0.58,0.47
15,HG,HB,73,511,82.88,"1,445.00",234.37,0.95,0.79,0.36,0.30,0.58,0.48
16,HG,HB,76,532,85.29,"1,514.00",242.71,0.95,0.81,0.36,0.31,0.58,0.49
17,HG,HB,79,553,87.77,"1,576.00",250.13,2.05,1.80,0.42,0.37,0.65,0.57
18,HG,HB,84,588,92.54,"1,630.00",256.53,2.05,1.90,0.42,0.39,0.65,0.60
